hotel_reference_id,hotel_country,hotel_city,hotel_state_province,hotel_category,hotel_class
1174851694452395485,PHILIPPINES,PASAY,METRO MANILA,Hotel,2.5
-3510650877354311155,THAILAND,HAT YAI,SONGKHLA,Hotel,2.0
-347790187095196879,THAILAND,HAT YAI,SONGKHLA,Hotel,3.0
8764779651961067603,PHILIPPINES,PALAWAN,,Hotel,3.0
-6823209617557346095,THAILAND,BANGKOK,,Hotel,4.0
-1404064049905617291,PHILIPPINES,BORACAY ISLAND,AKLAN,,
1575658407901972370,THAILAND,CHA AM,,Hotel,4.0
-686012320976107289,THAILAND,KO PHI PHI,KRABI,Hotel,
-5012997715205497357,PHILIPPINES,BORACAY,,Hotel,2.5
2846202816683377995,THAILAND,BANGKOK,,Hotel,3.5
-578036271824125462,THAILAND,THONG PHA PHUM,,Hotel,2.5
1827204065403797689,THAILAND,BANGKOK,BANGKOK,Hotel,5.0
-4696132674503452858,THAILAND,RAYONG,,Hotel,3.0
3079026621269910875,THAILAND,BANGKOK,,Hotel,2.0
6459909400697060986,THAILAND,KRABI-AO NANG,,Hotel,4.0
-7060784009806112448,PHILIPPINES,ILOILO,,Hotel,4.0
-8821748476452467242,THAILAND,NAKHON PHANOM,NAKHON PHANOM,Hotel,3.0
4718171378122830051,THAILAND,BANGKOK,,Hotel,3.0
-5305949760195909536,THAILAND,KARON,,Hotel,5.0
-398857993176320494,PHILIPPINES,MANILA,,Hotel,4.0
469940349441422583,PHILIPPINES,DUMAGUETE,NEGROS ORIENTAL,,
1231983850966969883,THAILAND,BANGKOK,,,
-8251229753472315409,THAILAND,BANGKOK,BANGKOK,Hotel,2.5
-6362683576351330969,THAILAND,CHONBURI,CHON BURI,Hotel,3.0
8432309219003053234,THAILAND,BANGKOK,,Hotel,2.0
-287245917066809867,THAILAND,KANCHANABURI,,,
-2547843657573380762,THAILAND,BANGKOK,BANGKOK,Hotel,2.0
5326457519857348713,THAILAND,SURAT THANI,,Hotel,3.0
3007400929990168113,PHILIPPINES,DAVAO CITY,DAVAO DEL SUR,,
-1700323075661615608,THAILAND,LOP BURI,,Hotel,3.5
1185689535792448977,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
4497601039323869122,THAILAND,BANGKOK,BANGKOK,Hotel,3.5
6160209839027059546,PHILIPPINES,DAVAO,DAVAO DEL SUR,Hotel,2.5
-5147657530603878584,THAILAND,BANGKOK,,Hotel,3.0
9139790932560562940,PHILIPPINES,CEBU,CEBU,Hotel,3.0
734401577018679654,PHILIPPINES,BORACAY,,Hotel,4.0
2040971848465870176,THAILAND,PATONG,PHUKET,Hotel,5.0
-6606514272426561957,PHILIPPINES,BORACAY,,Hotel,2.0
4290343817873769734,THAILAND,HAT YAI,SONGKHLA,,
3006853863366036190,THAILAND,HUA HIN,PRACHUAP KHIRI KHAN,,
-239440377747940679,THAILAND,UBON RATCHATHANI,UBON RATCHATHANI,Hotel,3.0
6164033389844402999,PHILIPPINES,MANILA,,Hotel,5.0
-9125026070465223218,THAILAND,BANGKOK,,Hotel,5.0
6172314238090743825,PHILIPPINES,DAVAO,,Hotel,5.0
141773033863715066,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
-6222177772655415231,THAILAND,BANGKOK,BANGKOK,,
-6543792377557745484,THAILAND,PATONG,PHUKET,Hotel,3.0
-1268825469586521810,THAILAND,BANGKOK,BANGKOK,Hotel,2.0
7917713099418426585,THAILAND,BANGKOK,,Hotel,5.0
-7596140514482613928,THAILAND,PATTAYA,CHON BURI,Hotel,3.0
3357007289895143349,THAILAND,PATTAYA,CHON BURI,Hotel,5.0
4149842974477946353,THAILAND,PHUKET,PHUKET,,
-2903250934245025138,PHILIPPINES,TAGAYTAY,CAVITE,,
-7652396997075476530,THAILAND,HAT YAI,,Hotel,3.0
9177111611748493812,PHILIPPINES,CEBU,,Hotel,3.0
-3489060351340007311,THAILAND,BANGKOK,,Hotel,4.0
3495079588585594562,THAILAND,RAYONG,,Hotel,4.0
-3793175891084260367,THAILAND,PAI,MAE HONG SON,Hotel,3.0
6955330587955690491,THAILAND,KARON,PHUKET,,
-1702238685637905156,THAILAND,CHONBURI,,,
3275989598505834299,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
5169945335544526091,PHILIPPINES,DAVAO CITY,,Hotel,3.0
-6130561536990952726,THAILAND,SONGKHLA,SONGKHLA,Hotel,3.0
-6698742719468963593,PHILIPPINES,CEBU,CEBU,Hotel,2.0
-6487002138386466410,THAILAND,BANGKOK,BANGKOK,,
-5319306156825700767,THAILAND,KO LANTA,KRABI,,
-5049252669445072859,PHILIPPINES,BORACAY ISLAND,AKLAN,Hotel,2.5
4683796689948642375,PHILIPPINES,CEBU,,Hotel,3.5
2055047743878561862,THAILAND,BANGKOK,BANGKOK,Hotel,3.0
-2823816488569210364,PHILIPPINES,MANILA,MANILA,Hotel,3.0
-7874155566712434812,THAILAND,CHIANG RAI,CHIANG RAI,Hotel,3.5
-1705554199125134244,THAILAND,PHUKET,,Hotel,5.0
-6631009737538532709,THAILAND,HAT YAI,SONGKHLA,,
106155536256982487,THAILAND,BANGKOK,BANGKOK,Hotel,4.0
-2837651405839904409,THAILAND,CHIANG MAI,CHIANG MAI,,
8072234274150054918,PHILIPPINES,MANILA,METRO MANILA,Hotel,3.5
-8899306487050434965,PHILIPPINES,CEBU,,Hotel,3.5
7536329075059969211,THAILAND,BANGKOK,BANGKOK,,
4249687128774466708,THAILAND,SATUN,SATUN,,
-3380976023832309826,PHILIPPINES,DAVAO CITY,DAVAO DEL SUR,Hotel,3.0
8847027090090552030,THAILAND,BANGKOK,BANGKOK,,
